순위,선수명,팀명,AVG,AB,H,2B,3B,HR,RBI,BB,HBP,SO,GDP,Year,Position,Inning
4,황재균,KT,0.279,43,12,1,0,1,7,8,0,10,1,2023,내야수,5
5,오윤석,KT,0.269,26,7,0,0,2,3,4,0,9,1,2023,내야수,5
6,류현인,KT,0.250,4,1,0,0,0,1,0,0,0,0,2023,내야수,5
7,강백호,KT,0.222,27,6,1,0,1,6,5,0,5,0,2023,내야수,5
8,이상호,KT,0.200,5,1,0,0,0,0,0,0,1,1,2023,내야수,5
9,박경수,KT,0.138,29,4,1,0,0,3,3,0,8,0,2023,내야수,5
10,신본기,KT,0.111,9,1,0,0,0,0,1,0,2,0,2023,내야수,5
11,장준원,KT,0.091,11,1,1,0,0,1,2,0,4,0,2023,내야수,5
12,강민성,KT,0.000,6,0,0,0,0,0,1,0,4,0,2023,내야수,5
12,박민석,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,5
12,손민석,KT,0.000,1,0,0,0,0,0,0,0,0,0,2023,내야수,5
1,이상호,KT,0.500,4,2,1,0,0,1,0,0,1,0,2023,내야수,6
2,김상수,KT,0.347,49,17,3,0,1,8,4,1,8,1,2023,내야수,6
3,장준원,KT,0.333,9,3,0,1,1,1,1,0,2,1,2023,내야수,6
4,이호연,KT,0.296,27,8,0,0,0,2,1,0,5,1,2023,내야수,6
5,황재균,KT,0.211,38,8,2,1,0,2,7,0,6,2,2023,내야수,6
6,박병호,KT,0.190,42,8,1,0,0,4,9,1,9,1,2023,내야수,6
7,박경수,KT,0.188,16,3,1,0,0,1,3,0,2,1,2023,내야수,6
8,강백호,KT,0.185,27,5,2,0,0,3,3,0,6,0,2023,내야수,6
9,오윤석,KT,0.176,17,3,0,0,0,0,1,3,3,0,2023,내야수,6
10,신본기,KT,0.100,10,1,0,0,0,1,1,0,1,2,2023,내야수,6
11,강민성,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,6
11,류현인,KT,0.000,1,0,0,0,0,0,1,0,0,0,2023,내야수,6
11,문상준,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,6
11,손민석,KT,0.000,2,0,0,0,0,0,0,0,0,0,2023,내야수,6
1,강민성,KT,0.667,3,2,0,0,0,0,1,0,0,0,2023,내야수,7
2,류현인,KT,0.333,3,1,0,0,0,0,0,0,1,0,2023,내야수,7
3,박병호,KT,0.300,50,15,2,0,1,10,8,1,13,1,2023,내야수,7
4,오윤석,KT,0.292,24,7,3,0,0,3,1,1,5,0,2023,내야수,7
5,장준원,KT,0.273,11,3,1,0,0,3,1,0,4,0,2023,내야수,7
6,이호연,KT,0.250,28,7,1,0,0,3,1,1,6,0,2023,내야수,7
7,김상수,KT,0.217,46,10,1,0,0,3,7,2,7,1,2023,내야수,7
8,박경수,KT,0.208,24,5,2,0,0,1,4,0,8,0,2023,내야수,7
9,황재균,KT,0.192,52,10,1,0,1,5,6,0,6,4,2023,내야수,7
10,강백호,KT,0.182,22,4,0,0,1,2,4,0,7,0,2023,내야수,7
11,김병희,KT,0.000,2,0,0,0,0,0,0,0,1,0,2023,내야수,7
11,문상준,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,7
11,손민석,KT,0.000,1,0,0,0,0,0,0,0,1,0,2023,내야수,7
11,신본기,KT,0.000,4,0,0,0,0,0,2,0,0,0,2023,내야수,7
11,이상호,KT,0.000,7,0,0,0,0,0,0,0,1,0,2023,내야수,7
1,강민성,KT,1.000,1,1,1,0,0,0,0,0,0,0,2023,내야수,8
1,박민석,KT,1.000,1,1,0,0,0,0,0,0,0,0,2023,내야수,8
3,이호연,KT,0.400,15,6,0,0,0,0,4,0,3,1,2023,내야수,8
4,김상수,KT,0.386,44,17,5,0,1,12,4,0,5,0,2023,내야수,8
5,박병호,KT,0.340,47,16,4,0,3,11,2,0,7,2,2023,내야수,8
6,류현인,KT,0.333,3,1,0,0,0,2,0,0,0,0,2023,내야수,8
6,신본기,KT,0.333,6,2,0,0,0,1,2,1,0,0,2023,내야수,8
8,오윤석,KT,0.316,19,6,1,0,0,3,1,0,3,0,2023,내야수,8
9,황재균,KT,0.279,43,12,2,0,1,6,3,0,7,2,2023,내야수,8
10,박경수,KT,0.238,21,5,2,0,0,3,3,0,7,0,2023,내야수,8
11,강백호,KT,0.207,29,6,0,0,0,5,3,0,7,0,2023,내야수,8
12,이상호,KT,0.125,8,1,0,0,0,0,2,0,0,0,2023,내야수,8
13,김병희,KT,0.000,1,0,0,0,0,0,1,0,0,0,2023,내야수,8
13,손민석,KT,0.000,1,0,0,0,0,1,1,0,0,0,2023,내야수,8
13,장준원,KT,0.000,11,0,0,0,0,1,2,0,3,0,2023,내야수,8
1,문상준,KT,0.500,2,1,0,0,0,0,0,0,1,0,2023,내야수,9
1,손민석,KT,0.500,2,1,0,0,0,0,0,0,1,0,2023,내야수,9
1,신본기,KT,0.500,4,2,0,0,0,1,2,0,0,0,2023,내야수,9
4,강민성,KT,0.333,3,1,0,0,0,0,2,0,1,0,2023,내야수,9
4,이호연,KT,0.333,15,5,0,0,1,4,3,1,3,0,2023,내야수,9
6,박병호,KT,0.324,34,11,0,0,5,7,1,1,9,0,2023,내야수,9
7,강백호,KT,0.308,13,4,0,0,0,1,5,0,2,0,2023,내야수,9
8,황재균,KT,0.273,33,9,4,1,1,8,5,0,6,2,2023,내야수,9
9,김상수,KT,0.219,32,7,2,0,0,0,4,0,6,0,2023,내야수,9
10,장준원,KT,0.200,10,2,0,0,0,1,0,1,3,0,2023,내야수,9
11,이상호,KT,0.154,13,2,0,0,0,2,0,0,2,1,2023,내야수,9
12,박경수,KT,0.095,21,2,1,0,1,2,5,0,7,1,2023,내야수,9
12,오윤석,KT,0.095,21,2,1,0,0,0,1,0,7,3,2023,내야수,9
14,김병희,KT,0.000,3,0,0,0,0,0,0,0,1,0,2023,내야수,9
14,류현인,KT,0.000,4,0,0,0,0,0,0,0,1,0,2023,내야수,9
1,황재균,KT,0.400,5,2,0,0,0,0,2,0,0,0,2023,내야수,"10,11,12,13,15,16,17,18"
2,오윤석,KT,0.200,5,1,0,0,1,1,1,0,1,0,2023,내야수,"10,11,12,13,15,16,17,18"
3,김상수,KT,0.111,9,1,0,1,0,1,1,0,1,0,2023,내야수,"10,11,12,13,15,16,17,18"
4,강백호,KT,0.000,5,0,0,0,0,0,0,0,1,1,2023,내야수,"10,11,12,13,15,16,17,18"
