선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
박경수,KT,100,0,0,0,-,0,0,2022
박영현,KT,4,0,0,0,-,0,0,2022
배제성,KT,1,0,0,0,-,0,0,2022
송민섭,KT,119,2,0,2,0.0,0,0,2022
신본기,KT,74,1,0,1,0.0,0,0,2022
심재민,KT,2,0,0,0,-,0,0,2022
유준규,KT,7,0,0,0,-,0,0,2022
이상우,KT,1,0,0,0,-,0,0,2022
이정현,KT,1,0,0,0,-,0,0,2022
전진영,KT,4,0,0,0,-,0,0,2022
조대현,KT,6,0,0,0,-,0,0,2022
주권,KT,1,0,0,0,-,0,0,2022
지명성,KT,1,0,0,0,-,0,0,2022
박해민,LG,144,30,24,6,80.0,8,1,2022
오지환,LG,142,27,20,7,74.1,5,2,2022
홍창기,LG,118,17,13,4,76.5,1,0,2022
문성주,LG,106,15,9,6,60.0,6,1,2022
서건창,LG,77,11,8,3,72.7,2,0,2022
문보경,LG,126,7,7,0,100,5,2,2022
채은성,LG,126,13,6,7,46.2,3,0,2022
가르시아,LG,39,5,4,1,80.0,2,2,2022
이재원,LG,85,4,3,1,75.0,4,1,2022
김현수,LG,141,3,2,1,66.7,2,0,2022
송찬의,LG,33,3,2,1,66.7,2,0,2022
신민재,LG,14,4,2,2,50.0,0,0,2022
루이즈,LG,27,1,1,0,100,0,0,2022
이상호,LG,60,3,1,2,33.3,0,0,2022
고우석,LG,4,0,0,0,-,0,0,2022
김기연,LG,12,0,0,0,-,0,0,2022
김민성,LG,92,1,0,1,0.0,0,0,2022
김진성,LG,2,0,0,0,-,0,0,2022
김호은,LG,2,0,0,0,-,0,0,2022
박용택,LG,1,0,0,0,-,0,0,2022
박재욱,LG,1,0,0,0,-,0,0,2022
배재준,LG,1,0,0,0,-,0,0,2022
백승현,LG,1,0,0,0,-,0,0,2022
손호영,LG,36,3,0,3,0.0,1,0,2022
송승기,LG,1,0,0,0,-,0,0,2022
송은범,LG,2,0,0,0,-,0,0,2022
안익훈,LG,14,0,0,0,-,0,0,2022
유강남,LG,139,0,0,0,-,5,1,2022
이영빈,LG,60,0,0,0,-,0,0,2022
이천웅,LG,19,0,0,0,-,0,0,2022
이형종,LG,26,0,0,0,-,0,0,2022
정우영,LG,1,0,0,0,-,0,0,2022
진해수,LG,1,0,0,0,-,0,0,2022
채원후,LG,1,0,0,0,-,0,0,2022
최동환,LG,4,0,0,0,-,0,0,2022
최민창,LG,4,0,0,0,-,0,0,2022
최성훈,LG,2,0,0,0,-,0,0,2022
한석현,LG,6,1,0,1,0.0,0,0,2022
함덕주,LG,1,0,0,0,-,0,0,2022
허도환,LG,64,0,0,0,-,0,0,2022
허준혁,LG,1,0,0,0,-,0,0,2022
최지훈,SSG,144,38,31,7,81.6,5,3,2022
추신수,SSG,112,20,15,5,75.0,5,1,2022
박성한,SSG,140,20,12,8,60.0,2,0,2022
최정,SSG,121,17,12,5,70.6,4,0,2022
오태곤,SSG,130,15,11,4,73.3,1,0,2022
김성현,SSG,130,6,3,3,50.0,5,0,2022
라가레스,SSG,49,4,3,1,75.0,3,0,2022
최상민,SSG,27,4,3,1,75.0,0,0,2022
안상현,SSG,46,2,2,0,100,0,0,2022
최경모,SSG,98,2,2,0,100,3,0,2022
김강민,SSG,84,4,1,3,25.0,4,0,2022
이재원,SSG,105,1,1,0,100,1,0,2022
하재훈,SSG,60,1,1,0,100,1,0,2022
한유섬,SSG,135,2,1,1,50.0,1,0,2022
고효준,SSG,2,0,0,0,-,0,0,2022
김규남,SSG,2,0,0,0,-,0,0,2022
김민식,SSG,104,0,0,0,-,1,0,2022
김재현,SSG,18,0,0,0,-,0,0,2022
김택형,SSG,1,0,0,0,-,0,0,2022
박민호,SSG,1,0,0,0,-,0,0,2022
서동민,SSG,1,0,0,0,-,0,0,2022
석정우,SSG,9,1,0,1,0.0,0,0,2022
오준혁,SSG,47,0,0,0,-,0,0,2022
이정범,SSG,7,0,0,0,-,0,0,2022
이현석,SSG,9,0,0,0,-,0,0,2022
이흥련,SSG,22,0,0,0,-,0,0,2022
전경원,SSG,1,0,0,0,-,0,0,2022
전의산,SSG,77,0,0,0,-,2,0,2022
조요한,SSG,1,0,0,0,-,0,0,2022
조형우,SSG,9,0,0,0,-,0,0,2022
최민준,SSG,1,0,0,0,-,0,0,2022
최주환,SSG,97,0,0,0,-,1,0,2022
최준우,SSG,10,0,0,0,-,0,0,2022
최항,SSG,15,0,0,0,-,1,0,2022
크론,SSG,67,0,0,0,-,2,0,2022
김혜성,키움,129,41,34,7,82.9,4,1,2022
이용규,키움,86,14,12,2,85.7,7,0,2022
푸이그,키움,126,9,6,3,66.7,12,1,2022
이정후,키움,142,5,5,0,100,1,1,2022
김주형,키움,55,1,1,0,100,1,0,2022
김준완,키움,111,2,1,1,50.0,3,0,2022
김태진,키움,77,3,1,2,33.3,1,0,2022
이병규,키움,24,1,1,0,100,2,0,2022
이지영,키움,137,2,1,1,50.0,3,1,2022
임지열,키움,40,1,1,0,100,1,0,2022
강민국,키움,3,0,0,0,-,0,0,2022
김성진,키움,2,0,0,0,-,0,0,2022
김수환,키움,57,0,0,0,-,0,1,2022
김시앙,키움,13,0,0,0,-,0,0,2022
김웅빈,키움,45,2,0,2,0.0,0,0,2022
김재현,키움,56,0,0,0,-,1,0,2022
김태훈,키움,1,0,0,0,-,0,0,2022
김휘집,키움,112,0,0,0,-,2,1,2022
노운현,키움,1,0,0,0,-,0,0,2022
박승주,키움,1,0,0,0,-,0,0,2022
박주성,키움,2,0,0,0,-,0,0,2022
박주홍,키움,21,0,0,0,-,0,0,2022
박준태,키움,52,0,0,0,-,2,0,2022
박찬혁,키움,52,1,0,1,0.0,0,1,2022
송성문,키움,142,1,0,1,0.0,1,0,2022
신준우,키움,76,0,0,0,-,0,0,2022
애플러,키움,1,0,0,0,-,0,0,2022
예진원,키움,20,0,0,0,-,0,0,2022
이명기,키움,2,0,0,0,-,0,0,2022
이재홍,키움,4,0,0,0,-,0,1,2022
이주형,키움,32,0,0,0,-,0,0,2022
전병우,키움,115,0,0,0,-,0,0,2022
하영민,키움,3,0,0,0,-,0,0,2022
