선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
박정음,키움,0.186,1,12,9,1.33,1,0.14,3.79,0.047,3.9,0.173,2020
김수환,키움,0.182,1,3,1,3.00,0,0.20,4.42,0.091,0.3,0.181,2020
모터,키움,0.114,1,9,13,0.69,0,0.10,4.24,0.086,0.8,0.111,2020
김동혁,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김병휘,키움,0.000,0,0,0,-,0,0.00,7.00,0.000,-0.1,0.0,2020
김상수,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김성민,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김재웅,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
김재현,키움,0.000,0,1,0,-,0,0.00,5.00,0.000,-0.3,0.0,2020
문찬종,키움,0.000,0,0,1,0.00,0,-,1.00,0.000,-0.1,0.0,2020
송우현,키움,0.000,0,3,5,0.60,0,0.50,3.87,0.000,-0.1,0.09,2020
신재영,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
안우진,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
양지율,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
양현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
윤정현,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
임규빈,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
조상우,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
조성운,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
조영건,키움,-,0,0,0,-,0,-,-,-,0.0,0.0,2020
