,선수명,팀명,경기,도루시도,도루허용,도루저지,도루성공률,주루사,견제사,년도
12,김민수,KT,1,0,0,0,-,0,0,2020
13,김병희,KT,29,0,0,0,-,0,0,2020
14,김성훈,KT,1,0,0,0,-,0,0,2020
15,김재윤,KT,2,0,0,0,-,0,0,2020
16,김태훈,KT,2,0,0,0,-,0,0,2020
17,로하스,KT,142,1,0,1,0.0,7,0,2020
18,류희운,KT,1,0,0,0,-,0,0,2020
19,문상인,KT,3,0,0,0,-,0,0,2020
20,문상철,KT,74,1,0,1,0.0,1,0,2020
21,박경수,KT,119,1,0,1,0.0,5,0,2020
22,박준혁,KT,12,0,0,0,-,0,0,2020
23,안현준,KT,1,0,0,0,-,0,0,2020
24,유원상,KT,1,0,0,0,-,0,0,2020
25,유한준,KT,119,0,0,0,-,2,0,2020
26,이대은,KT,2,0,0,0,-,0,0,2020
27,이보근,KT,1,0,0,0,-,0,0,2020
28,이상화,KT,1,0,0,0,-,0,0,2020
29,이창재,KT,1,0,0,0,-,0,0,2020
30,이홍구,KT,49,0,0,0,-,2,0,2020
31,장성우,KT,130,0,0,0,-,1,0,2020
32,전유수,KT,2,0,0,0,-,0,0,2020
33,정주후,KT,10,1,0,1,0.0,0,0,2020
34,조병욱,KT,1,0,0,0,-,0,0,2020
35,주권,KT,2,0,0,0,-,0,0,2020
36,허도환,KT,52,0,0,0,-,0,0,2020
37,홍현빈,KT,40,1,0,1,0.0,0,0,2020
38,오지환,LG,141,28,20,8,71.4,9,1,2020
39,홍창기,LG,135,16,11,5,68.8,4,1,2020
40,신민재,LG,68,10,8,2,80.0,1,0,2020
41,이천웅,LG,89,13,8,5,61.5,7,0,2020
42,정주현,LG,134,15,8,7,53.3,7,1,2020
43,김용의,LG,101,10,7,3,70.0,1,0,2020
44,정근우,LG,72,9,7,2,77.8,2,0,2020
45,손호영,LG,23,5,5,0,100,1,0,2020
46,김민성,LG,87,3,2,1,66.7,2,0,2020
47,라모스,LG,117,2,2,0,100,4,0,2020
48,박용택,LG,97,2,2,0,100,1,0,2020
49,유강남,LG,137,2,1,1,50.0,3,0,2020
50,이형종,LG,81,1,1,0,100,4,0,2020
51,한석현,LG,9,1,1,0,100,0,0,2020
52,구본혁,LG,125,0,0,0,-,1,1,2020
53,김대현,LG,1,0,0,0,-,0,0,2020
54,김현수,LG,142,2,0,2,0.0,4,0,2020
55,김호은,LG,69,0,0,0,-,1,0,2020
56,남호,LG,1,0,0,0,-,0,0,2020
57,류원석,LG,1,0,0,0,-,0,0,2020
58,박재욱,LG,15,0,0,0,-,0,0,2020
59,박지규,LG,4,0,0,0,-,0,0,2020
60,백승현,LG,27,0,0,0,-,1,0,2020
61,백청훈,LG,1,0,0,0,-,0,0,2020
62,송은범,LG,4,0,0,0,-,0,0,2020
63,양석환,LG,40,0,0,0,-,1,0,2020
64,이성우,LG,72,0,0,0,-,3,0,2020
65,이우찬,LG,1,0,0,0,-,0,0,2020
66,이재원,LG,16,0,0,0,-,0,0,2020
67,이정용,LG,1,0,0,0,-,0,0,2020
68,이찬혁,LG,1,0,0,0,-,0,0,2020
69,장준원,LG,46,0,0,0,-,0,1,2020
70,전민수,LG,4,0,0,0,-,0,0,2020
71,정우영,LG,2,0,0,0,-,0,0,2020
72,진해수,LG,1,0,0,0,-,0,0,2020
73,채은성,LG,109,3,0,3,0.0,4,0,2020
74,최동환,LG,3,0,0,0,-,0,0,2020
75,최성훈,LG,3,0,0,0,-,0,0,2020
76,최재원,LG,6,0,0,0,-,0,0,2020
77,알테어,NC,136,25,22,3,88.0,4,2,2020
78,박민우,NC,126,19,13,6,68.4,5,1,2020
79,김성욱,NC,104,17,12,5,70.6,2,0,2020
80,이명기,NC,136,19,12,7,63.2,5,1,2020
81,강진성,NC,121,10,9,1,90.0,3,1,2020
82,이상호,NC,82,10,6,4,60.0,0,1,2020
83,양의지,NC,130,7,5,2,71.4,4,0,2020
84,이재율,NC,25,5,4,1,80.0,0,0,2020
85,최정원,NC,49,4,4,0,100,1,1,2020
86,권희동,NC,123,3,3,0,100,0,0,2020
87,김찬형,NC,56,4,3,1,75.0,2,0,2020
88,나성범,NC,130,4,3,1,75.0,2,0,2020
89,박준영,NC,32,1,1,0,100,0,0,2020
90,이원재,NC,73,1,1,0,100,2,0,2020
91,지석훈,NC,87,1,1,0,100,1,0,2020
92,강동연,NC,3,0,0,0,-,0,0,2020
93,김건태,NC,5,0,0,0,-,0,0,2020
94,김기환,NC,4,0,0,0,-,0,0,2020
95,김준완,NC,45,0,0,0,-,1,0,2020
96,김진성,NC,2,0,0,0,-,0,0,2020
97,김태군,NC,80,0,0,0,-,1,0,2020
98,김형준,NC,44,0,0,0,-,2,0,2020
99,노진혁,NC,132,4,0,4,0.0,1,0,2020
100,도태훈,NC,11,0,0,0,-,0,0,2020
101,모창민,NC,62,0,0,0,-,1,0,2020
102,박석민,NC,123,1,0,1,0.0,5,0,2020
103,박시원,NC,1,0,0,0,-,0,0,2020
104,배민서,NC,1,0,0,0,-,0,0,2020
105,배재환,NC,1,0,0,0,-,0,0,2020
106,서호철,NC,2,0,0,0,-,0,0,2020
107,손정욱,NC,1,0,0,0,-,0,0,2020
108,송명기,NC,1,0,0,0,-,0,0,2020
109,원종현,NC,4,0,0,0,-,0,0,2020
110,유영준,NC,4,0,0,0,-,0,0,2020
111,윤수강,NC,4,0,0,0,-,0,0,2020
112,홍성무,NC,1,0,0,0,-,0,0,2020
113,정수빈,두산,141,21,15,6,71.4,6,0,2020
114,허경민,두산,117,20,14,6,70.0,4,1,2020
115,이유찬,두산,101,17,13,4,76.5,2,0,2020
116,오재원,두산,85,15,10,5,66.7,3,1,2020
117,박건우,두산,129,10,8,2,80.0,4,1,2020
118,김재호,두산,120,8,6,2,75.0,6,0,2020
119,김재환,두산,140,6,6,0,100,2,0,2020
120,박세혁,두산,124,8,5,3,62.5,6,0,2020
121,조수행,두산,44,5,3,2,60.0,0,0,2020
122,안권수,두산,68,3,2,1,66.7,4,0,2020
123,오재일,두산,127,3,2,1,66.7,7,0,2020
124,최주환,두산,140,4,2,2,50.0,5,0,2020
125,국해성,두산,46,2,1,1,50.0,0,0,2020
126,권민석,두산,55,1,1,0,100,0,0,2020
127,권휘,두산,1,0,0,0,-,0,0,2020
128,김강률,두산,2,0,0,0,-,0,0,2020
129,김민규,두산,3,0,0,0,-,0,0,2020
130,김인태,두산,77,0,0,0,-,0,0,2020
131,박지훈,두산,10,0,0,0,-,0,0,2020
132,백동훈,두산,27,0,0,0,-,0,0,2020
133,서예일,두산,40,0,0,0,-,0,0,2020
134,신성현,두산,9,0,0,0,-,0,0,2020
135,양찬열,두산,17,0,0,0,-,0,0,2020
136,오명진,두산,5,0,0,0,-,0,0,2020
137,윤명준,두산,1,0,0,0,-,0,0,2020
138,이승민,두산,3,0,0,0,-,0,0,2020
139,이영하,두산,1,0,0,0,-,0,0,2020
