,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
76,진해수,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
77,채원후,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
78,최민창,LG,0.000,0,1,1,1.00,0,-,3.50,0.000,-0.2,0.0,2021
79,최성훈,LG,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
80,박지훈,두산,0.333,1,3,2,1.50,0,0.33,3.57,0.083,2.4,0.297,2021
81,박건우,두산,0.325,39,111,132,0.84,3,0.69,3.70,0.116,78.9,0.29,2021
82,페르난데스,두산,0.315,39,170,171,0.99,4,1.86,3.48,0.128,87.0,0.287,2021
83,조수행,두산,0.286,4,21,13,1.62,0,0.62,4.08,0.083,16.9,0.28,2021
84,최용제,두산,0.279,3,27,28,0.96,1,0.52,3.89,0.029,13.1,0.237,2021
85,허경민,두산,0.278,30,175,131,1.34,6,1.03,3.76,0.088,51.8,0.243,2021
86,김재환,두산,0.274,52,109,114,0.96,15,0.64,4.01,0.227,91.3,0.297,2021
87,양석환,두산,0.273,50,79,147,0.54,12,0.31,3.98,0.217,80.1,0.274,2021
88,박계범,두산,0.267,18,87,84,1.04,7,0.65,4.12,0.090,45.3,0.255,2021
89,정수빈,두산,0.259,26,112,72,1.56,2,0.58,3.82,0.115,37.4,0.24,2021
90,김인태,두산,0.259,24,92,100,0.92,3,0.93,3.88,0.119,51.8,0.262,2021
91,안재석,두산,0.255,12,49,51,0.96,2,0.30,3.94,0.090,23.4,0.229,2021
92,전민재,두산,0.250,0,0,2,0.00,0,0.00,3.20,0.000,0.6,0.153,2021
93,강승호,두산,0.239,25,76,78,0.97,2,0.28,3.79,0.136,34.6,0.229,2021
94,안권수,두산,0.238,1,20,9,2.22,0,1.00,3.47,0.048,4.3,0.202,2021
95,장승현,두산,0.232,12,51,36,1.42,3,0.38,3.81,0.090,21.0,0.23,2021
96,박세혁,두산,0.219,12,77,68,1.13,1,0.51,4.02,0.051,19.9,0.201,2021
97,권민석,두산,0.214,2,3,1,3.00,0,0.14,4.20,0.143,1.2,0.209,2021
98,김재호,두산,0.209,9,56,80,0.70,3,0.85,3.91,0.052,18.6,0.203,2021
99,신성현,두산,0.182,0,2,1,2.00,0,0.50,4.60,0.000,1.5,0.226,2021
100,오재원,두산,0.167,3,19,24,0.79,2,0.33,3.90,0.042,2.8,0.155,2021
101,국해성,두산,0.125,0,3,2,1.50,0,0.00,4.38,0.000,-0.1,0.088,2021
102,권휘,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
103,김강률,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
104,김명신,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
105,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
106,김민혁,두산,0.000,0,3,1,3.00,0,1.00,4.25,0.000,0.1,0.113,2021
107,남호,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2021
