,선수명,팀명,타율,장타,땅볼,뜬공,땅볼/뜬공,결승타,볼넷/삼진,투구수/타석,순수장타율,추정득점,(1.8x출루율+장타율)/4,년도
150,이유찬,두산,0.243,10,45,64,0.70,0,0.39,4.21,0.067,23.3,0.22,2023
151,양찬열,두산,0.239,4,19,26,0.73,0,0.39,4.02,0.068,9.1,0.218,2023
152,전민재,두산,0.235,2,5,5,1.00,0,0.00,2.56,0.118,-0.4,0.194,2023
153,송승환,두산,0.229,4,16,22,0.73,1,0.25,3.82,0.071,4.6,0.197,2023
154,박준영,두산,0.228,14,16,29,0.55,1,0.17,4.38,0.189,15.5,0.235,2023
155,서예일,두산,0.222,0,1,5,0.20,0,0.00,3.00,0.000,0.7,0.146,2023
156,김재환,두산,0.220,25,96,122,0.79,7,0.72,4.02,0.111,51.8,0.237,2023
157,조수행,두산,0.219,4,85,49,1.73,3,0.61,3.80,0.032,21.3,0.197,2023
158,박계범,두산,0.219,8,51,40,1.28,3,0.34,3.79,0.071,14.7,0.201,2023
159,김태근,두산,0.212,3,6,14,0.43,0,0.00,3.82,0.058,1.8,0.169,2023
160,박지훈,두산,0.211,1,7,1,7.00,0,0.29,4.00,0.053,1.7,0.194,2023
161,안승한,두산,0.208,0,6,3,2.00,0,0.20,3.19,0.000,1.9,0.185,2023
162,김대한,두산,0.198,5,13,31,0.42,0,0.33,3.90,0.099,6.1,0.196,2023
163,안재석,두산,0.188,4,16,25,0.64,1,0.25,3.53,0.109,4.9,0.174,2023
164,장승현,두산,0.158,4,50,31,1.61,0,0.17,3.80,0.072,7.6,0.163,2023
165,김민혁,두산,0.138,1,8,10,0.80,0,0.44,3.69,0.034,1.2,0.156,2023
166,신성현,두산,0.083,0,3,4,0.75,0,0.75,5.07,0.000,0.2,0.141,2023
167,권민석,두산,0.000,0,1,0,-,0,0.00,2.00,0.000,-0.2,0.0,2023
168,김민규,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
169,김정우,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
170,박신지,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
171,박정수,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
172,박치국,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
173,이형범,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
174,정철원,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
175,최승용,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
176,홍건희,두산,-,0,0,0,-,0,-,-,-,0.0,0.0,2023
