선수명,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,희생번트,희생플라이,볼넷,고의4구,사구,삼진,병살타,장타율,출루율,출루율+장타율,멀티히트,득점권타율,대타타율,년도
김주형,키움,0.000,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2019
윤영삼,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0,2019
추재현,키움,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0,2019
임재현,SK,0.667,6,3,3,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0.667,0.667,1.334,0,0.0,0.0,2019
고종욱,SK,0.323,137,513,492,76,159,25,7,3,207,56,0,2,18,1,1,89,5,0.421,0.347,0.768,48,0.341,0.231,2019
최정,SK,0.292,141,606,503,86,147,27,0,29,261,99,0,8,69,6,26,92,4,0.519,0.399,0.918,40,0.333,0.0,2019
김재현,SK,0.286,83,49,42,29,12,2,1,0,16,2,3,0,4,0,0,11,0,0.381,0.348,0.729,2,0.25,0.333,2019
정의윤,SK,0.282,110,419,380,44,107,24,0,13,170,59,0,2,30,1,6,60,9,0.447,0.342,0.789,29,0.279,0.25,2019
로맥,SK,0.276,137,589,504,86,139,28,1,29,256,95,0,6,73,3,6,117,11,0.508,0.370,0.878,39,0.266,0.0,2019
김강민,SK,0.270,127,460,422,54,114,14,2,8,156,50,0,3,31,3,4,103,2,0.370,0.324,0.694,31,0.298,0.25,2019
이재원,SK,0.268,139,502,451,33,121,19,0,12,176,75,1,7,34,2,9,59,16,0.390,0.327,0.717,29,0.303,0.364,2019
한유섬,SK,0.265,125,502,427,52,113,20,0,12,169,52,0,0,55,4,20,100,6,0.396,0.375,0.771,28,0.264,0.3,2019
김성민,SK,0.250,2,4,4,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0.250,0.250,0.500,0,0.0,0.0,2019
노수광,SK,0.250,117,445,388,69,97,16,1,2,121,28,9,0,46,0,2,68,1,0.312,0.333,0.645,27,0.333,0.5,2019
김성현,SK,0.246,144,472,426,45,105,16,2,1,128,34,8,3,33,0,2,43,15,0.300,0.302,0.602,24,0.216,0.0,2019
안상현,SK,0.235,65,108,102,14,24,3,0,0,27,5,1,1,4,0,0,28,3,0.265,0.262,0.527,4,0.227,0.0,2019
