º¯¿ß,º±ºˆ∏Ì,∆¿∏Ì,≈∏¿≤,∞Ê±‚,≈∏ºÆ,≈∏ºˆ,µÊ¡°,æ»≈∏,2∑Á≈∏,3∑Á≈∏,»®∑±,∑Á≈∏,≈∏¡°,»Òª˝π¯∆Æ,»Òª˝«√∂Û¿Ã,∫º≥›,∞Ì¿«4±∏,ªÁ±∏,ªÔ¡¯,∫¥ªÏ≈∏,¿Â≈∏¿≤,√‚∑Á¿≤,√‚∑Á¿≤+¿Â≈∏¿≤,∏÷∆º»˜∆Æ,µÊ¡°±«≈∏¿≤,¥Î≈∏≈∏¿≤
10,¿Ã«ÿΩ¬,ªÔº∫,0.25,9,4,4,0,1,1,0,0,2,0,0,0,0,0,0,1,0,0.5,0.25,0.75,0,0.0,0.0
12,¿Ã¿Á«ˆ,ªÔº∫,0.249,143,538,458,61,114,19,2,12,173,60,16,6,52,0,6,89,9,0.378,0.33,0.708,24,0.24,0.0
13,æ»¡÷«¸,ªÔº∫,0.241,53,91,79,12,19,2,0,1,24,10,1,1,10,0,0,20,3,0.304,0.322,0.626,2,0.292,0.231
14,¿Ã≈¬»∆,ªÔº∫,0.231,12,14,13,1,3,1,0,0,4,0,0,0,1,0,0,7,0,0.308,0.286,0.594,0,0.0,0.5
15,∞≠«—øÔ,ªÔº∫,0.217,72,240,212,30,46,7,2,0,57,10,6,2,20,1,0,54,4,0.269,0.282,0.551,12,0.156,0.333
16,±Ë»£¿Á,ªÔº∫,0.216,75,127,116,6,25,7,0,0,32,9,5,0,6,0,0,17,4,0.276,0.254,0.53,7,0.226,0.0
17,∞≠¡ÿº≠,ªÔº∫,0.214,10,15,14,2,3,1,0,0,4,0,0,0,1,0,0,2,0,0.286,0.267,0.553,0,0.0,0.0
18,∑˘Ω¬πŒ,ªÔº∫,0.212,24,57,52,5,11,3,0,0,14,5,2,0,2,0,1,19,0,0.269,0.255,0.524,4,0.357,0.333
19,¿Ãº∫±‘,ªÔº∫,0.207,109,162,145,23,30,10,1,1,45,18,4,2,8,0,3,42,4,0.31,0.259,0.569,4,0.341,0.182
19,¡∂πŒº∫,ªÔº∫,0.207,15,29,29,1,6,2,0,0,8,5,0,0,0,0,0,6,1,0.276,0.207,0.483,2,0.333,0.0
21,ø¿¿Á¿œ,ªÔº∫,0.203,106,364,315,31,64,15,0,11,112,54,0,3,43,1,3,110,1,0.356,0.302,0.658,14,0.213,0.167
22,∞¯πŒ±‘,ªÔº∫,0.194,22,33,31,0,6,1,1,0,9,2,0,0,2,0,0,13,1,0.29,0.242,0.532,1,0.125,0.0
23,±Ë¿Áº∫,ªÔº∫,0.192,57,125,99,7,19,3,0,1,25,7,2,0,19,1,5,31,4,0.253,0.35,0.603,3,0.192,0.3
24,±Ëøµøı,ªÔº∫,0.187,55,103,91,11,17,6,0,2,29,12,3,1,8,0,0,28,2,0.319,0.25,0.569,0,0.227,0.25
25,±Ë¿ÁªÛ,ªÔº∫,0.15,17,22,20,1,3,0,0,1,6,2,0,0,2,0,0,4,1,0.3,0.227,0.527,0,0.0,0.25
26,¿±¡§∫Û,ªÔº∫,0.147,28,43,34,5,5,0,0,1,8,3,0,0,7,0,2,12,1,0.235,0.326,0.561,1,0.0,0.333
27,±Ëµµ»Ø,ªÔº∫,0.143,9,8,7,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0.143,0.25,0.393,0,0.0,0.0
27,¿Ã∫¥«Â,ªÔº∫,0.143,23,33,28,3,4,0,0,0,4,2,1,1,3,0,0,11,0,0.143,0.219,0.362,1,0.111,0.0
29,±Ë≈¬»∆,ªÔº∫,0.095,11,22,21,0,2,1,0,0,3,1,1,0,0,0,0,9,1,0.143,0.095,0.238,1,0.25,0.0
30,±ËªÛπŒ,ªÔº∫,0.083,8,13,12,3,1,0,0,0,1,0,0,0,1,0,0,3,0,0.083,0.154,0.237,0,0.0,0.0
31,±Ë¥ÎøÏ,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
31,±ËπŒºˆ,ªÔº∫,0.000,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
31,±Ëº≠¡ÿ,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
31,±Ë≈¬»∆,ªÔº∫,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
31,±Ë«Â∞Ô,ªÔº∫,0.000,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.0,0.0
31,ø¿Ω¬»Ø,ªÔº∫,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
31,¿ÃªÛπŒ,ªÔº∫,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.0,0.0
31,¿ÃΩ¬«ˆ,ªÔº∫,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
31,¿ÃΩ¬«ˆ,ªÔº∫,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
31,¿Ã¿Á¿Õ,ªÔº∫,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,-,0,0.0,0.0
