선수명,포지션,수비 승리 기여도,년도,순위,팀명,경기,선발경기,수비이닝,실책,견제사,풋아웃,어시스트,병살,수비율,포일,도루허용,도루저지,도루저지율
김헌곤,좌익수,-0.170,2022,16,삼성,30,8,111 1/3,0,0,31,0,0,1.0,0,0,0,-
김헌곤,중견수,-0.227,2022,61,삼성,3,1,10,0,0,0,0,0,-,0,0,0,-
안주형,2루수,-0.229,2022,23,삼성,20,15,126 1/3,2,0,32,43,8,0.974,0,0,0,-
김성윤,좌익수,-0.232,2022,74,삼성,1,1,8,0,0,3,0,0,1.000,0,0,0,-
맥키넌,3루수,-0.235,2022,47,삼성,6,4,36 2/3,1,0,3,3,0,0.857,0,0,0,-
강한울,2루수,-0.244,2022,43,삼성,8,0,25,1,0,3,6,0,0.900,0,0,0,-
김영웅,3루수,-0.250,2022,10,삼성,33,30,247 1/3,3,0,21,30,0,0.944,0,0,0,-
김재상,유격수,,2022,74,삼성,1,0,1,0,0,0,2,0,1.000,0,0,0,-
김호진,1루수,,2022,74,삼성,1,0,1,0,0,0,0,0,-,0,0,0,-
강한울,1루수,,2022,74,삼성,1,0,1,0,0,1,0,0,1.000,0,0,0,-
김영웅,2루수,,2022,74,삼성,1,0,1,0,0,0,0,0,-,0,0,0,-
강한울,유격수,,2022,61,삼성,3,0,3,0,0,1,0,0,1.000,0,0,0,-
