순위,선수명,팀명,타율,타수,안타,2루타,3루타,홈런,타점,볼넷,사구,삼진,병살타,타순
12,김준태,KT,0.0,1,0,0,0,0,0,0,0,0,0,9번
12,문상철,KT,0.0,2,0,0,0,0,0,0,0,1,0,9번
12,오윤석,KT,0.0,2,0,0,0,0,0,0,0,0,0,9번
12,오재일,KT,0.0,2,0,0,0,0,0,0,0,2,0,9번
12,이호연,KT,0.0,2,0,0,0,0,0,0,0,0,0,9번
12,장성우,KT,0.0,2,0,0,0,0,0,0,0,1,0,9번
12,장준원,KT,0.0,5,0,0,0,0,0,3,0,1,0,9번
12,정준영,KT,0.0,1,0,0,0,0,0,0,0,1,0,9번
12,황재균,KT,0.0,2,0,0,0,0,0,0,0,0,0,9번
1,안치영,KT,1.0,1,1,0,0,0,0,0,0,0,0,상위(1~2번)
1,안현민,KT,1.0,1,1,0,0,1,1,0,0,0,0,상위(1~2번)
1,장성우,KT,1.0,2,2,1,0,0,1,0,0,0,0,상위(1~2번)
4,문상철,KT,0.667,3,2,0,0,0,0,0,0,0,0,상위(1~2번)
5,신본기,KT,0.5,2,1,0,0,0,0,0,0,1,0,상위(1~2번)
5,정준영,KT,0.5,6,3,0,0,0,0,0,0,2,0,상위(1~2번)
7,오윤석,KT,0.429,7,3,1,0,0,3,1,0,3,0,상위(1~2번)
8,강백호,KT,0.352,88,31,6,0,5,19,7,0,11,1,상위(1~2번)
9,로하스,KT,0.333,159,53,10,0,10,37,20,4,34,2,상위(1~2번)
10,황재균,KT,0.303,33,10,1,0,1,4,6,0,6,0,상위(1~2번)
11,배정대,KT,0.301,93,28,4,1,2,11,8,0,24,0,상위(1~2번)
12,천성호,KT,0.288,177,51,7,3,1,14,12,1,29,4,상위(1~2번)
13,김민혁,KT,0.194,67,13,1,0,0,7,7,1,7,4,상위(1~2번)
14,조용호,KT,0.125,8,1,0,0,0,1,1,0,2,0,상위(1~2번)
15,김병준,KT,0.0,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
15,김상수,KT,0.0,4,0,0,0,0,0,1,0,1,0,상위(1~2번)
15,박경수,KT,0.0,1,0,0,0,0,0,0,0,1,0,상위(1~2번)
15,송민섭,KT,0.0,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
15,오재일,KT,0.0,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
15,이호연,KT,0.0,3,0,0,0,0,0,1,0,2,0,상위(1~2번)
15,홍현빈,KT,0.0,1,0,0,0,0,0,0,0,0,0,상위(1~2번)
1,박경수,KT,1.000,2,2,1,0,0,1,0,0,0,0,중심(3~5번)
2,신본기,KT,0.500,2,1,0,0,0,0,1,0,1,0,중심(3~5번)
2,안치영,KT,0.500,2,1,0,0,0,1,1,0,0,0,중심(3~5번)
2,조대현,KT,0.500,2,1,0,0,0,1,3,0,1,0,중심(3~5번)
5,김민혁,KT,0.429,35,15,3,0,0,10,7,0,5,1,중심(3~5번)
6,장성우,KT,0.327,156,51,8,0,6,30,31,0,28,3,중심(3~5번)
7,강백호,KT,0.293,215,63,11,0,13,40,21,1,50,2,중심(3~5번)
8,로하스,KT,0.291,141,41,11,0,10,26,29,1,35,3,중심(3~5번)
9,문상철,KT,0.263,175,46,3,0,10,27,23,4,49,4,중심(3~5번)
10,황재균,KT,0.214,14,3,0,0,0,2,0,0,2,1,중심(3~5번)
11,오재일,KT,0.207,58,12,4,0,1,7,8,0,15,3,중심(3~5번)
12,강현우,KT,0.167,6,1,0,0,0,0,1,0,3,0,중심(3~5번)
12,배정대,KT,0.167,6,1,0,0,0,0,2,1,2,0,중심(3~5번)
14,김준태,KT,0.143,7,1,0,0,0,1,3,0,1,0,중심(3~5번)
15,안현민,KT,0.125,8,1,0,0,0,0,0,0,5,0,중심(3~5번)
16,오윤석,KT,0.000,2,0,0,0,0,1,0,0,0,0,중심(3~5번)
16,이호연,KT,0.000,2,0,0,0,0,0,0,0,0,0,중심(3~5번)
16,장준원,KT,0.000,1,0,0,0,0,0,0,0,0,0,중심(3~5번)
16,정준영,KT,0.000,1,0,0,0,0,0,0,0,1,0,중심(3~5번)
16,조용호,KT,0.000,4,0,0,0,0,0,0,0,1,1,중심(3~5번)
16,천성호,KT,0.000,3,0,0,0,0,0,2,0,2,0,중심(3~5번)
16,홍현빈,KT,-,0,0,0,0,0,0,0,0,0,0,중심(3~5번)
1,강백호,KT,0.5,2,1,0,0,0,1,0,0,1,0,하위(6~9번)
1,조대현,KT,0.5,4,2,0,0,0,0,0,0,1,0,하위(6~9번)
3,천성호,KT,0.379,29,11,1,0,0,3,2,0,6,1,하위(6~9번)
4,강현우,KT,0.333,3,1,1,0,0,1,2,0,1,0,하위(6~9번)
4,김민혁,KT,0.333,60,20,1,0,0,4,5,0,10,1,하위(6~9번)
4,안현민,KT,0.333,9,3,0,1,0,1,1,1,1,0,하위(6~9번)
7,배정대,KT,0.324,71,23,8,0,1,12,10,0,15,2,하위(6~9번)
8,문상철,KT,0.308,26,8,1,0,1,5,4,1,7,2,하위(6~9번)
9,김병준,KT,0.3,10,3,0,0,0,0,2,0,2,0,하위(6~9번)
10,신본기,KT,0.286,77,22,3,0,3,15,14,3,16,3,하위(6~9번)
11,김준태,KT,0.278,18,5,2,0,0,2,2,0,5,0,하위(6~9번)
12,조용호,KT,0.258,124,32,4,0,0,10,10,0,21,4,하위(6~9번)
13,김상수,KT,0.25,176,44,9,1,3,22,16,3,24,7,하위(6~9번)
14,황재균,KT,0.244,209,51,9,0,3,16,16,1,42,4,하위(6~9번)
15,오재일,KT,0.233,60,14,5,1,4,9,6,0,23,3,하위(6~9번)
16,안치영,KT,0.22,41,9,0,0,0,2,1,0,12,0,하위(6~9번)
17,오윤석,KT,0.206,68,14,2,1,2,8,10,1,19,5,하위(6~9번)
18,이호연,KT,0.179,28,5,1,0,0,0,0,0,6,2,하위(6~9번)
19,김건형,KT,0.143,21,3,1,0,0,1,1,0,8,0,하위(6~9번)
20,홍현빈,KT,0.125,8,1,0,0,0,0,1,0,3,0,하위(6~9번)
21,장성우,KT,0.115,52,6,1,0,2,10,6,0,13,0,하위(6~9번)
22,장준원,KT,0.091,11,1,0,0,0,0,4,0,4,0,하위(6~9번)
23,윤준혁,KT,0.0,4,0,0,0,0,0,0,0,3,0,하위(6~9번)
23,정준영,KT,0.0,13,0,0,0,0,0,3,0,4,0,하위(6~9번)
